id,stack_id,rowrange,depth,heightrange,terminalstopoveraction_id,put_handling_id,put_correction_id,pull_handling_id,pull_correction_id,yardmovehandling_id,container_number,container_relative_marker_position,container_height,marker_id,reachstacker_moves,crane_moves,locationinformation_id,straddlecarrier_moves
3936837,2352135,"[0,1)",0,"[0,1)",3237444,3237440,,3936886,,,,1,0,,0,0,3936838,0
3186009,2350905,"[24402,36594)",0,"[0,2621)",3165626,,3186007,,4014372,,,1,0,,3,3,3186008,3
4131442,2350929,"[6102,12198)",0,"[2621,5242)",3128475,4131426,,4734290,,,,1,0,,0,0,4131441,0
3867005,2351008,"[61002,73194)",0,"[2896,5792)",3126043,3866745,,3866646,,,,1,0,,0,0,3867004,0
3392124,2350905,"[24402,36594)",0,"[5547,8473)",3127632,3390045,,,4014373,,,1,0,,1,1,3392123,1
3649744,2351777,"[22882,36598)",0,"[2621,5242)",3124878,3649688,,,4014374,,,1,0,,1,1,3649743,2
9887294,2351087,"[12202,24394)",0,"[2896,5792)",3115893,9886267,,9890920,,,,1,0,,0,0,9887293,0
3289137,2352137,"[0,1)",0,"[0,1)",3129451,3129447,,3289136,,,,1,0,,0,0,3289138,0
3467343,2352135,"[0,1)",0,"[0,1)",3127798,3127794,,3467342,,,,1,0,,0,0,3467344,0
3186816,2351898,"[36602,48794)",0,"[2926,5852)",3123353,,3186814,,3563468,,,1,0,,0,0,3186815,1
3392046,2352137,"[0,1)",0,"[0,1)",3127533,3127529,,3392045,,,,1,0,,0,0,3392047,0
4143880,2351592,"[12206,24398)",0,"[0,2896)",3100575,4143864,,5956357,,,,1,0,,0,0,4143879,0
4136311,2351435,"[36602,42698)",0,"[0,2621)",3104078,4136287,,6192279,,,,1,0,,0,0,4136310,0
4125776,2352035,"[42702,48798)",0,"[2621,5242)",3129032,4125738,,5169818,,,,1,0,,0,0,4125775,0
4125765,2351969,"[30502,36598)",0,"[0,2621)",3167542,4125703,,,9262431,,,1,0,,0,0,4125764,0
5418192,2387709,"[0,1)",0,"[0,1)",5320783,5415577,,5320780,,,,1,0,,0,0,5418191,0
3417341,2352137,"[0,1)",0,"[0,1)",3128624,3128620,,3417340,,,,1,0,,0,0,3417342,0
3418313,2352137,"[0,1)",0,"[0,1)",3127566,3127562,,3418312,,,,1,0,,0,0,3418314,0
6539155,2351513,"[48806,60998)",0,"[0,2621)",3166505,6538935,,6539636,,,,1,0,,0,0,6539154,0
3185729,2351453,"[67102,73198)",0,"[0,2621)",3119835,,3185727,3119832,,,,1,0,,0,0,3185728,0
4159191,2351021,"[2,12194)",0,"[2896,5792)",3119122,4159180,,3119127,,,,1,0,,0,0,4159190,0
3186625,2350896,"[24402,38118)",0,"[2621,5242)",3114117,,3186623,3114114,,,,1,0,,0,0,3186624,0
3648513,2351764,"[2,6098)",0,"[0,2621)",3648480,,3648511,,3954971,,,1,0,,,,,
3841121,2352137,"[0,1)",0,"[0,1)",3409593,3409589,,3843072,,,,1,0,,0,0,3841122,0
3840436,2352137,"[0,1)",0,"[0,1)",3678896,3678892,,3844020,,,,1,0,,0,0,3840437,0
3867139,2352135,"[0,1)",0,"[0,1)",3128889,3128885,,3867241,,,,1,0,,0,0,3867140,0
3571572,2351804,"[6,12198)",0,"[0,2926)",3128277,3571389,,,4014389,,,1,0,,1,1,3571571,1
3936694,2352135,"[0,1)",0,"[0,1)",3238470,3238466,,3936742,,,,1,0,,0,0,3936695,0
3829899,2352137,"[0,1)",0,"[0,1)",3668428,3668424,,3836998,,,,1,0,,0,0,3829900,0
3830975,2352137,"[0,1)",0,"[0,1)",3668468,3668464,,3837800,,,,1,0,,0,0,3830976,0
3831049,2352137,"[0,1)",0,"[0,1)",3668463,3668459,,3837857,,,,1,0,,0,0,3831050,0
3831135,2352137,"[0,1)",0,"[0,1)",3668458,3668454,,3837918,,,,1,0,,0,0,3831136,0
3831308,2352137,"[0,1)",0,"[0,1)",3668513,3668509,,3838287,,,,1,0,,0,0,3831309,0
3839113,2352127,"[0,1)",0,"[0,1)",3668548,3839089,,3833094,,,,1,0,,0,0,3839112,0
3867272,2351426,"[61002,67098)",0,"[5242,7863)",3128889,3867241,,3940210,,,,1,0,,0,0,3867271,1
3867430,2352135,"[0,1)",0,"[0,1)",3126390,3126386,,3867518,,,,1,0,,0,0,3867431,0
3931745,2352127,"[0,1)",0,"[0,1)",3237381,3931723,,,4014390,,,1,0,,0,0,3931744,0
3673433,2352114,"[41182,54898)",0,"[5242,7863)",3124689,3634226,,,3920361,,,1,0,,0,0,3673432,0
3863120,2352058,"[2,12194)",0,"[2896,5792)",3126158,3862922,,3862873,,,,1,0,,0,0,3863119,0
3185383,2351206,"[61002,73194)",0,"[0,2896)",3111290,,3185380,3111295,,,,1,0,,0,0,3185382,0
3420674,2351887,"[24406,36598)",0,"[0,2621)",3128591,3416801,,,4014391,,,1,0,,0,0,3420673,0
3963760,2352135,"[0,1)",0,"[0,1)",3111670,3111665,,3111675,,,,1,0,,0,0,3963761,0
3936974,2352129,"[0,1)",0,"[0,1)",3679030,3839400,,,4014350,,,1,0,,0,0,3936973,0
3690726,2351417,"[61002,67098)",0,"[0,2621)",3119566,3119563,,,4014351,,,1,0,,0,0,3690725,0
3937201,2352129,"[0,1)",0,"[0,1)",3678794,3840343,,,4014352,,,1,0,,0,0,3937200,0
3940431,2351140,"[12202,18298)",0,"[2621,5242)",3128905,3868877,,,4014353,,,1,0,,0,0,3940430,0
3936622,2352129,"[0,1)",0,"[0,1)",3668573,3832316,,,4014354,,,1,0,,0,0,3936621,0
3464907,2351764,"[54902,60998)",0,"[0,2621)",3201263,,3464905,,4014355,,,1,0,,0,0,3464906,0
3331511,2351831,"[2,13718)",0,"[2621,5242)",3234676,3275972,,,4014357,,,1,0,,1,1,3331510,1
3581472,2352131,"[0,1)",0,"[0,1)",3126605,3581383,,,4014358,,,1,0,,0,0,3581471,0
3386246,2350905,"[2,12194)",0,"[2926,5547)",3128790,3384844,,,4014359,,,1,0,,1,1,3386245,1
3936816,2351853,"[48806,60998)",0,"[0,2896)",3668558,3832600,,,4014360,,,1,0,,2,2,3936815,2
3672106,2351790,"[6130,18322)",0,"[0,2621)",3126406,3671884,,,4014361,,,1,0,,1,1,3672105,1
3940372,2351426,"[67102,73198)",0,"[5242,7863)",3128475,3868239,,,4014362,,,1,0,,0,0,3940371,0
3931491,2352127,"[0,1)",0,"[0,1)",3238058,3931470,,,4014363,,,1,0,,0,0,3931490,0
3690744,2351417,"[48802,54898)",0,"[0,2621)",3119579,3119576,,,4014364,,,1,0,,0,0,3690743,0
3690761,2351453,"[24402,30498)",0,"[2621,5242)",3119712,3119709,,,4014365,,,1,0,,0,0,3690760,0
3420977,2352131,"[0,1)",0,"[0,1)",3127334,3417154,,,4014392,,,1,0,,0,0,3420976,0
3690778,2351453,"[67102,73198)",0,"[0,2621)",3119835,3119832,,,4014393,,,1,0,,0,0,3690777,0
3936860,2351853,"[42702,48798)",0,"[2621,5242)",3678161,3833350,,,4014394,,,1,0,,1,1,3936859,2
3936890,2351853,"[42702,48798)",0,"[5242,7863)",3668723,3833573,,,4014398,,,1,0,,0,0,3936889,1
3292771,2352135,"[0,1)",0,"[0,1)",3235185,3235181,,3292770,,,,1,0,,0,0,3292772,0
3467415,2352135,"[0,1)",0,"[0,1)",3129154,3129150,,3467414,,,,1,0,,0,0,3467416,0
3186813,2351898,"[48802,60994)",0,"[2926,5852)",3123259,,3186811,,3566128,,,1,0,,1,1,3186812,1
3649689,2352135,"[0,1)",0,"[0,1)",3124878,3124874,,3649688,,,,1,0,,0,0,3649690,0
3572190,2352135,"[0,1)",0,"[0,1)",3129401,3129397,,3572189,,,,1,0,,0,0,3572191,0
12588496,2352131,"[0,1)",0,"[0,1)",12588479,,12588494,,12588630,,,1,0,,,,,
9351616,2351831,"[36606,48798)",0,"[2621,5242)",7823373,9351473,,,10715121,,,1,0,,0,0,9351615,0
3418460,2352137,"[0,1)",0,"[0,1)",3127582,3127578,,3418459,,,,1,0,,0,0,3418461,0
3419538,2352137,"[0,1)",0,"[0,1)",3129101,3129097,,3419537,,,,1,0,,0,0,3419539,0
3392738,2352135,"[0,1)",0,"[0,1)",3237272,3237268,,3392737,,,,1,0,,0,0,3392739,0
3587048,2352135,"[0,1)",0,"[0,1)",3128029,3128025,,3587047,,,,1,0,,0,0,3587049,0
3582293,2352135,"[0,1)",0,"[0,1)",3127814,3127810,,3601296,,,,1,0,,0,0,3582294,0
3867687,2351426,"[67102,73198)",0,"[5242,7863)",3126390,3867518,,3940213,,,,1,0,,0,0,3867686,0
3574546,2352135,"[0,1)",0,"[0,1)",3125580,3125576,,3574545,,,,1,0,,0,0,3574547,0
3574450,2350929,"[36594,42690)",0,"[0,2621)",3125255,3574101,,,4014399,,,1,0,,1,1,3574449,1
3186649,2351711,"[61002,73194)",0,"[2621,5547)",3114972,,3186647,3114969,,,,1,0,,0,0,3186648,0
4136468,2350829,"[30502,36598)",0,"[0,2621)",3158903,4136447,,,,,,1,0,,0,0,4136467,0
3185510,2351711,"[61002,73194)",0,"[0,2621)",3115055,,3185508,3115060,,,,1,0,,0,0,3185509,0
7720004,2387709,"[0,1)",0,"[0,1)",7697823,7717687,,7697820,,,,1,0,,0,0,7720003,0
6198489,2352137,"[0,1)",0,"[0,1)",3101521,6192252,,3101526,,,,1,0,,0,0,6198491,0
